Year of Sentence,County,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN/ASIAN AMERICAN,BLACK/AFRICAN AMERICAN,HAWAIIAN/PACIFIC ISLANDER,OTHER,WHITE
2009,"Alamance County, North Carolina",13,10,1372,0,124,1295
2009,"Alexander County, North Carolina",0,1,76,0,9,290
2009,"Alleghany County, North Carolina",4,0,10,0,16,126
2009,"Anson County, North Carolina",2,0,288,0,6,69
2009,"Ashe County, North Carolina",1,0,4,0,13,268
2009,"Avery County, North Carolina",1,0,12,0,3,192
2009,"Beaufort County, North Carolina",5,2,513,0,9,363
2009,"Bertie County, North Carolina",0,0,276,0,4,83
2009,"Bladen County, North Carolina",20,1,201,0,13,118
2009,"Brunswick County, North Carolina",17,0,287,0,28,782
2009,"Buncombe County, North Carolina",28,3,787,0,108,1848
2009,"Burke County, North Carolina",3,16,147,0,19,819
2009,"Cabarrus County, North Carolina",10,0,740,0,48,1078
2009,"Caldwell County, North Carolina",3,0,188,0,17,691
2009,"Camden County, North Carolina",0,0,16,0,1,19
2009,"Carteret County, North Carolina",6,0,179,0,14,623
2009,"Caswell County, North Carolina",0,0,104,0,4,95
2009,"Catawba County, North Carolina",2,8,457,0,35,864
2009,"Chatham County, North Carolina",0,0,177,0,50,224
2009,"Cherokee County, North Carolina",2,0,10,0,1,125
2009,"Chowan County, North Carolina",0,0,169,0,0,72
2009,"Clay County, North Carolina",1,0,1,0,0,52
2009,"Cleveland County, North Carolina",11,1,825,0,14,974
2009,"Columbus County, North Carolina",33,0,375,0,18,398
2009,"Craven County, North Carolina",4,5,626,0,20,543
2009,"Cumberland County, North Carolina",130,8,1836,0,62,760
2009,"Currituck County, North Carolina",3,0,50,0,6,156
2009,"Dare County, North Carolina",3,0,66,0,8,311
2009,"Davidson County, North Carolina",17,14,711,0,74,1494
2009,"Davie County, North Carolina",2,0,94,0,11,292
2009,"Duplin County, North Carolina",2,0,369,0,29,269
2009,"Durham County, North Carolina",0,1,2003,0,113,379
2009,"Edgecombe County, North Carolina",1,0,769,0,16,136
2009,"Forsyth County, North Carolina",27,6,1841,0,175,940
2009,"Franklin County, North Carolina",0,0,247,0,4,134
2009,"Gaston County, North Carolina",13,9,748,0,26,1333
2009,"Gates County, North Carolina",0,0,50,0,0,35
2009,"Graham County, North Carolina",2,0,2,0,2,51
2009,"Granville County, North Carolina",2,0,356,0,9,131
2009,"Greene County, North Carolina",0,1,301,0,10,96
2009,"Guilford County, North Carolina",70,26,3504,0,152,1702
2009,"Halifax County, North Carolina",30,0,648,0,0,198
2009,"Harnett County, North Carolina",14,0,623,0,62,502
2009,"Haywood County, North Carolina",35,1,27,0,8,617
2009,"Henderson County, North Carolina",0,2,175,0,74,771
2009,"Hertford County, North Carolina",0,0,377,0,0,66
2009,"Hoke County, North Carolina",108,0,269,0,41,65
2009,"Hyde County, North Carolina",0,0,42,0,2,23
2009,"Iredell County, North Carolina",12,2,880,0,51,1236
2009,"Jackson County, North Carolina",36,0,18,0,11,195
2009,"Johnston County, North Carolina",3,0,722,0,113,705
2009,"Jones County, North Carolina",0,0,49,0,0,50
2009,"Lee County, North Carolina",2,0,309,0,36,263
2009,"Lenoir County, North Carolina",3,0,1253,0,29,408
2009,"Lincoln County, North Carolina",2,1,186,0,13,733
2009,"Macon County, North Carolina",2,3,14,0,11,254
2009,"Madison County, North Carolina",7,0,10,0,1,226
2009,"Martin County, North Carolina",1,0,248,0,1,85
2009,"Mcdowell County, North Carolina",1,1,60,0,19,657
2009,"Mecklenburg County, North Carolina",9,18,2984,0,185,633
2009,"Mitchell County, North Carolina",1,0,17,0,3,219
2009,"Montgomery County, North Carolina",13,2,222,0,11,189
2009,"Moore County, North Carolina",52,2,771,0,64,680
2009,"Nash County, North Carolina",3,0,882,0,24,364
2009,"New Hanover County, North Carolina",34,5,1757,0,46,2058
2009,"Northampton County, North Carolina",1,0,137,0,0,29
2009,"Onslow County, North Carolina",18,12,661,0,37,727
2009,"Orange County, North Carolina",4,2,475,0,59,375
2009,"Other County, North Carolina",13,0,280,0,8,348
2009,"Pamlico County, North Carolina",2,1,39,0,1,109
2009,"Pasquotank County, North Carolina",0,0,376,0,4,109
2009,"Pender County, North Carolina",7,0,214,0,20,341
2009,"Perquimans County, North Carolina",0,0,42,0,2,43
2009,"Person County, North Carolina",5,0,313,0,5,171
2009,"Pitt County, North Carolina",5,0,1652,0,57,530
2009,"Polk County, North Carolina",0,0,19,0,12,91
2009,"Randolph County, North Carolina",15,3,452,0,100,1098
2009,"Richmond County, North Carolina",16,0,418,0,26,328
2009,"Robeson County, North Carolina",631,2,385,0,22,180
2009,"Rockingham County, North Carolina",9,0,585,0,40,920
2009,"Rowan County, North Carolina",16,3,1289,0,67,2007
2009,"Rutherford County, North Carolina",5,0,415,0,19,1114
2009,"Sampson County, North Carolina",28,0,518,0,70,340
2009,"Scotland County, North Carolina",121,0,384,0,2,201
2009,"Stanly County, North Carolina",5,3,286,0,0,411
2009,"Stokes County, North Carolina",1,0,63,0,21,504
2009,"Surry County, North Carolina",3,0,122,0,35,862
2009,"Swain County, North Carolina",35,0,1,0,1,76
2009,"Transylvania County, North Carolina",0,0,42,0,8,166
2009,"Tyrrell County, North Carolina",0,0,27,0,0,18
2009,"Union County, North Carolina",4,0,413,0,37,401
2009,"Vance County, North Carolina",1,0,628,0,7,247
2009,"Wake County, North Carolina",24,18,3444,0,263,1308
2009,"Warren County, North Carolina",4,0,111,0,0,24
2009,"Washington County, North Carolina",2,0,115,0,2,35
2009,"Watauga County, North Carolina",0,0,26,0,20,368
2009,"Wayne County, North Carolina",6,0,1346,0,72,627
2009,"Wilkes County, North Carolina",1,0,164,0,20,1200
2009,"Wilson County, North Carolina",2,0,747,0,32,248
2009,"Yadkin County, North Carolina",0,1,75,0,25,413
2009,"Yancey County, North Carolina",2,0,2,0,4,193
2010,"Alamance County, North Carolina",16,3,1257,0,86,1123
2010,"Alexander County, North Carolina",5,0,44,0,5,330
2010,"Alleghany County, North Carolina",0,0,4,0,3,100
2010,"Anson County, North Carolina",1,0,237,0,8,60
2010,"Ashe County, North Carolina",0,0,8,0,19,262
2010,"Avery County, North Carolina",0,0,8,0,2,226
2010,"Beaufort County, North Carolina",2,0,546,0,20,338
2010,"Bertie County, North Carolina",0,0,242,0,1,51
2010,"Bladen County, North Carolina",33,0,200,0,11,140
2010,"Brunswick County, North Carolina",23,0,268,0,28,764
2010,"Buncombe County, North Carolina",21,1,743,0,67,1907
2010,"Burke County, North Carolina",2,13,103,0,23,716
2010,"Cabarrus County, North Carolina",5,6,792,0,57,1209
2010,"Caldwell County, North Carolina",1,2,144,0,12,725
2010,"Camden County, North Carolina",0,0,21,0,0,20
2010,"Carteret County, North Carolina",9,0,164,0,16,590
2010,"Caswell County, North Carolina",1,0,84,0,1,60
2010,"Catawba County, North Carolina",2,12,381,0,28,717
2010,"Chatham County, North Carolina",4,0,166,0,23,158
2010,"Cherokee County, North Carolina",4,0,8,0,0,106
2010,"Chowan County, North Carolina",0,0,177,0,1,62
2010,"Clay County, North Carolina",1,0,2,0,1,39
2010,"Cleveland County, North Carolina",11,0,838,0,16,982
2010,"Columbus County, North Carolina",23,2,299,0,15,349
2010,"Craven County, North Carolina",7,8,646,0,36,557
2010,"Cumberland County, North Carolina",146,1,1801,0,51,716
2010,"Currituck County, North Carolina",1,0,53,0,3,119
2010,"Dare County, North Carolina",2,0,46,0,7,285
2010,"Davidson County, North Carolina",17,5,576,0,64,1333
2010,"Davie County, North Carolina",4,0,75,0,16,293
2010,"Duplin County, North Carolina",8,0,326,0,28,213
2010,"Durham County, North Carolina",4,1,1859,0,137,402
2010,"Edgecombe County, North Carolina",1,0,739,0,9,160
2010,"Forsyth County, North Carolina",14,9,1722,0,144,953
2010,"Franklin County, North Carolina",2,0,227,0,8,139
2010,"Gaston County, North Carolina",5,1,734,0,25,1207
2010,"Gates County, North Carolina",0,0,62,0,0,48
2010,"Graham County, North Carolina",8,0,1,0,2,59
2010,"Granville County, North Carolina",4,0,242,0,14,132
2010,"Greene County, North Carolina",4,0,310,0,10,119
2010,"Guilford County, North Carolina",62,30,3265,0,124,1495
2010,"Halifax County, North Carolina",18,0,662,0,2,196
2010,"Harnett County, North Carolina",18,2,578,0,44,470
2010,"Haywood County, North Carolina",18,0,24,0,6,486
2010,"Henderson County, North Carolina",1,1,107,0,71,618
2010,"Hertford County, North Carolina",1,0,300,0,2,102
2010,"Hoke County, North Carolina",133,0,286,0,32,81
2010,"Hyde County, North Carolina",1,0,48,0,1,39
2010,"Iredell County, North Carolina",15,4,817,0,47,1119
2010,"Jackson County, North Carolina",50,0,11,0,10,197
2010,"Johnston County, North Carolina",4,0,730,0,67,616
2010,"Jones County, North Carolina",0,0,60,0,1,34
2010,"Lee County, North Carolina",8,0,329,0,47,268
2010,"Lenoir County, North Carolina",10,1,1294,0,45,399
2010,"Lincoln County, North Carolina",6,0,184,0,18,686
2010,"Macon County, North Carolina",4,0,6,0,6,275
2010,"Madison County, North Carolina",5,0,4,0,1,212
2010,"Martin County, North Carolina",0,0,286,0,4,96
2010,"Mcdowell County, North Carolina",0,1,53,0,23,573
2010,"Mecklenburg County, North Carolina",13,14,3144,0,172,591
2010,"Mitchell County, North Carolina",0,0,4,0,3,219
2010,"Montgomery County, North Carolina",5,2,192,0,17,170
2010,"Moore County, North Carolina",55,0,691,0,42,672
2010,"Nash County, North Carolina",12,0,777,0,23,302
2010,"New Hanover County, North Carolina",32,5,1743,0,41,2108
2010,"Northampton County, North Carolina",0,0,182,0,2,33
2010,"Onslow County, North Carolina",18,14,620,0,36,711
2010,"Orange County, North Carolina",1,0,444,0,55,300
2010,"Other County, North Carolina",5,2,302,0,10,286
2010,"Pamlico County, North Carolina",0,1,31,0,0,73
2010,"Pasquotank County, North Carolina",0,0,319,0,5,103
2010,"Pender County, North Carolina",6,0,216,0,10,383
2010,"Perquimans County, North Carolina",0,0,55,0,2,53
2010,"Person County, North Carolina",1,0,208,0,1,168
2010,"Pitt County, North Carolina",5,1,1555,0,38,518
2010,"Polk County, North Carolina",0,0,11,0,5,64
2010,"Randolph County, North Carolina",17,7,445,0,101,1204
2010,"Richmond County, North Carolina",25,0,330,0,16,332
2010,"Robeson County, North Carolina",614,0,422,0,10,229
2010,"Rockingham County, North Carolina",5,0,465,0,34,709
2010,"Rowan County, North Carolina",19,2,1361,0,77,1908
2010,"Rutherford County, North Carolina",3,0,313,0,19,855
2010,"Sampson County, North Carolina",21,0,427,0,42,279
2010,"Scotland County, North Carolina",147,0,277,0,2,136
2010,"Stanly County, North Carolina",5,1,203,0,12,351
2010,"Stokes County, North Carolina",5,0,72,0,6,414
2010,"Surry County, North Carolina",1,0,132,0,50,719
2010,"Swain County, North Carolina",21,0,14,0,9,48
2010,"Transylvania County, North Carolina",2,0,25,0,2,141
2010,"Tyrrell County, North Carolina",0,0,27,0,6,29
2010,"Union County, North Carolina",11,0,381,0,20,439
2010,"Vance County, North Carolina",1,0,402,0,9,184
2010,"Wake County, North Carolina",12,12,3697,0,177,1377
2010,"Warren County, North Carolina",4,0,117,0,3,25
2010,"Washington County, North Carolina",2,0,90,0,5,21
2010,"Watauga County, North Carolina",0,4,25,0,16,423
2010,"Wayne County, North Carolina",11,0,1229,0,52,578
2010,"Wilkes County, North Carolina",3,0,176,0,45,1062
2010,"Wilson County, North Carolina",3,0,702,0,24,229
2010,"Yadkin County, North Carolina",2,0,58,0,18,378
2010,"Yancey County, North Carolina",2,0,5,0,3,211
2011,"Alamance County, North Carolina",14,3,1190,0,92,1103
2011,"Alexander County, North Carolina",0,0,74,0,13,364
2011,"Alleghany County, North Carolina",3,0,3,0,9,73
2011,"Anson County, North Carolina",5,0,296,0,2,103
2011,"Ashe County, North Carolina",0,0,7,0,5,227
2011,"Avery County, North Carolina",1,0,6,0,3,164
2011,"Beaufort County, North Carolina",2,0,528,0,15,286
2011,"Bertie County, North Carolina",0,0,234,0,2,41
2011,"Bladen County, North Carolina",24,0,162,0,2,141
2011,"Brunswick County, North Carolina",39,0,247,0,28,737
2011,"Buncombe County, North Carolina",27,8,650,0,90,1720
2011,"Burke County, North Carolina",5,14,140,0,35,711
2011,"Cabarrus County, North Carolina",17,5,880,0,58,1256
2011,"Caldwell County, North Carolina",1,1,133,0,7,660
2011,"Camden County, North Carolina",0,0,28,0,0,20
2011,"Carteret County, North Carolina",15,0,119,0,18,451
2011,"Caswell County, North Carolina",0,0,101,0,2,77
2011,"Catawba County, North Carolina",3,13,343,0,43,739
2011,"Chatham County, North Carolina",0,6,163,0,37,160
2011,"Cherokee County, North Carolina",5,0,11,0,0,121
2011,"Chowan County, North Carolina",0,0,168,0,3,76
2011,"Clay County, North Carolina",0,1,3,0,0,29
2011,"Cleveland County, North Carolina",6,1,786,0,11,980
2011,"Columbus County, North Carolina",39,1,319,0,9,275
2011,"Craven County, North Carolina",9,3,535,0,20,603
2011,"Cumberland County, North Carolina",142,9,1678,0,61,656
2011,"Currituck County, North Carolina",0,0,41,0,4,99
2011,"Dare County, North Carolina",1,0,71,0,5,244
2011,"Davidson County, North Carolina",13,18,505,0,56,1303
2011,"Davie County, North Carolina",6,2,110,0,14,245
2011,"Duplin County, North Carolina",4,0,357,0,47,302
2011,"Durham County, North Carolina",6,0,1812,0,113,326
2011,"Edgecombe County, North Carolina",2,1,693,0,8,134
2011,"Forsyth County, North Carolina",11,8,1495,0,135,803
2011,"Franklin County, North Carolina",0,0,230,0,5,151
2011,"Gaston County, North Carolina",5,5,663,0,25,1195
2011,"Gates County, North Carolina",0,0,32,0,0,33
2011,"Graham County, North Carolina",2,0,3,0,0,50
2011,"Granville County, North Carolina",3,0,237,0,2,150
2011,"Greene County, North Carolina",2,0,300,0,13,96
2011,"Guilford County, North Carolina",59,21,3160,0,156,1441
2011,"Halifax County, North Carolina",26,0,532,0,1,201
2011,"Harnett County, North Carolina",13,0,467,0,35,409
2011,"Haywood County, North Carolina",21,0,26,0,6,528
2011,"Henderson County, North Carolina",4,0,114,0,33,593
2011,"Hertford County, North Carolina",0,0,306,0,2,83
2011,"Hoke County, North Carolina",111,0,314,0,13,91
2011,"Hyde County, North Carolina",0,0,42,0,0,27
2011,"Iredell County, North Carolina",10,6,811,0,60,1144
2011,"Jackson County, North Carolina",56,0,16,0,3,172
2011,"Johnston County, North Carolina",10,0,774,0,89,671
2011,"Jones County, North Carolina",1,0,55,0,3,31
2011,"Lee County, North Carolina",1,5,373,0,34,271
2011,"Lenoir County, North Carolina",6,0,1204,0,33,386
2011,"Lincoln County, North Carolina",10,0,207,0,18,746
2011,"Macon County, North Carolina",2,0,3,0,3,249
2011,"Madison County, North Carolina",0,0,0,0,1,117
2011,"Martin County, North Carolina",0,0,252,0,6,120
2011,"Mcdowell County, North Carolina",3,0,47,0,7,717
2011,"Mecklenburg County, North Carolina",17,8,2957,0,184,635
2011,"Mitchell County, North Carolina",0,0,4,0,6,172
2011,"Montgomery County, North Carolina",3,5,168,0,17,198
2011,"Moore County, North Carolina",43,2,642,0,37,701
2011,"Nash County, North Carolina",7,0,647,0,15,333
2011,"New Hanover County, North Carolina",64,3,1623,0,40,2061
2011,"Northampton County, North Carolina",0,0,127,0,2,25
2011,"Onslow County, North Carolina",10,9,522,0,60,675
2011,"Orange County, North Carolina",1,4,393,0,39,252
2011,"Other County, North Carolina",13,5,327,0,10,358
2011,"Pamlico County, North Carolina",0,0,40,0,0,63
2011,"Pasquotank County, North Carolina",0,0,281,0,7,127
2011,"Pender County, North Carolina",6,0,183,0,4,358
2011,"Perquimans County, North Carolina",0,0,68,0,1,52
2011,"Person County, North Carolina",5,0,251,0,3,198
2011,"Pitt County, North Carolina",1,2,1428,0,41,482
2011,"Polk County, North Carolina",0,0,28,0,3,71
2011,"Randolph County, North Carolina",16,3,391,0,74,1035
2011,"Richmond County, North Carolina",25,0,286,0,9,324
2011,"Robeson County, North Carolina",731,0,401,0,16,179
2011,"Rockingham County, North Carolina",3,0,512,0,23,799
2011,"Rowan County, North Carolina",13,2,1083,0,61,1886
2011,"Rutherford County, North Carolina",2,0,335,0,13,808
2011,"Sampson County, North Carolina",19,0,388,0,82,323
2011,"Scotland County, North Carolina",143,0,345,0,5,172
2011,"Stanly County, North Carolina",3,0,188,0,7,320
2011,"Stokes County, North Carolina",1,0,56,0,12,327
2011,"Surry County, North Carolina",1,0,133,0,38,653
2011,"Swain County, North Carolina",35,0,0,0,3,74
2011,"Transylvania County, North Carolina",1,0,33,0,2,161
2011,"Tyrrell County, North Carolina",0,0,20,0,0,12
2011,"Union County, North Carolina",12,0,447,0,53,438
2011,"Vance County, North Carolina",0,0,335,0,4,144
2011,"Wake County, North Carolina",27,11,3382,0,206,1369
2011,"Warren County, North Carolina",6,0,113,0,0,16
2011,"Washington County, North Carolina",0,0,109,0,3,47
2011,"Watauga County, North Carolina",0,0,32,0,4,334
2011,"Wayne County, North Carolina",7,0,1248,0,35,555
2011,"Wilkes County, North Carolina",7,0,134,0,25,914
2011,"Wilson County, North Carolina",3,1,652,0,31,208
2011,"Yadkin County, North Carolina",0,0,65,0,19,454
2011,"Yancey County, North Carolina",1,0,4,0,5,194
2012,"Alamance County, North Carolina",14,2,971,0,71,902
2012,"Alexander County, North Carolina",4,4,51,0,5,301
2012,"Alleghany County, North Carolina",0,0,1,0,10,122
2012,"Anson County, North Carolina",2,1,192,0,3,69
2012,"Ashe County, North Carolina",0,0,8,0,5,273
2012,"Avery County, North Carolina",0,0,4,0,0,217
2012,"Beaufort County, North Carolina",4,0,439,0,9,290
2012,"Bertie County, North Carolina",1,0,113,0,2,28
2012,"Bladen County, North Carolina",21,0,156,0,5,117
2012,"Brunswick County, North Carolina",15,0,199,0,29,509
2012,"Buncombe County, North Carolina",16,0,515,0,40,1275
2012,"Burke County, North Carolina",3,6,108,0,21,554
2012,"Cabarrus County, North Carolina",8,1,729,0,54,1061
2012,"Caldwell County, North Carolina",1,2,118,0,5,466
2012,"Camden County, North Carolina",0,1,17,0,0,31
2012,"Carteret County, North Carolina",6,0,124,0,19,435
2012,"Caswell County, North Carolina",2,0,101,0,1,102
2012,"Catawba County, North Carolina",2,9,330,0,27,709
2012,"Chatham County, North Carolina",2,0,114,0,17,120
2012,"Cherokee County, North Carolina",2,0,5,0,0,164
2012,"Chowan County, North Carolina",0,0,119,0,2,48
2012,"Clay County, North Carolina",1,0,0,0,1,35
2012,"Cleveland County, North Carolina",4,1,615,0,15,807
2012,"Columbus County, North Carolina",42,0,221,0,10,248
2012,"Craven County, North Carolina",3,3,445,0,22,460
2012,"Cumberland County, North Carolina",87,4,1274,0,40,574
2012,"Currituck County, North Carolina",0,0,26,0,0,87
2012,"Dare County, North Carolina",2,0,55,0,4,243
2012,"Davidson County, North Carolina",14,4,365,0,23,971
2012,"Davie County, North Carolina",2,0,60,0,2,171
2012,"Duplin County, North Carolina",3,0,377,0,57,226
2012,"Durham County, North Carolina",12,0,1501,0,80,300
2012,"Edgecombe County, North Carolina",0,0,457,0,9,100
2012,"Forsyth County, North Carolina",15,0,1199,0,97,648
2012,"Franklin County, North Carolina",1,0,148,0,7,100
2012,"Gaston County, North Carolina",5,7,606,0,24,1163
2012,"Gates County, North Carolina",3,0,34,0,0,34
2012,"Graham County, North Carolina",4,0,0,0,0,44
2012,"Granville County, North Carolina",2,0,157,0,3,102
2012,"Greene County, North Carolina",4,0,192,0,12,74
2012,"Guilford County, North Carolina",43,31,2720,0,89,1213
2012,"Halifax County, North Carolina",16,0,408,0,0,144
2012,"Harnett County, North Carolina",31,0,382,0,24,335
2012,"Haywood County, North Carolina",20,0,29,0,6,431
2012,"Henderson County, North Carolina",3,0,78,0,34,533
2012,"Hertford County, North Carolina",1,0,114,0,1,37
2012,"Hoke County, North Carolina",83,0,327,0,18,72
2012,"Hyde County, North Carolina",0,0,38,0,0,12
2012,"Iredell County, North Carolina",6,3,581,0,48,866
2012,"Jackson County, North Carolina",40,0,7,0,7,185
2012,"Johnston County, North Carolina",6,2,595,0,77,585
2012,"Jones County, North Carolina",0,0,77,0,1,46
2012,"Lee County, North Carolina",5,0,216,0,24,263
2012,"Lenoir County, North Carolina",7,0,853,0,12,308
2012,"Lincoln County, North Carolina",6,0,175,0,21,793
2012,"Macon County, North Carolina",5,1,5,0,5,212
2012,"Madison County, North Carolina",1,0,0,0,0,145
2012,"Martin County, North Carolina",1,0,185,0,1,76
2012,"Mcdowell County, North Carolina",4,3,74,0,20,716
2012,"Mecklenburg County, North Carolina",15,11,2447,0,151,561
2012,"Mitchell County, North Carolina",0,0,1,0,1,181
2012,"Montgomery County, North Carolina",11,1,132,0,20,126
2012,"Moore County, North Carolina",45,0,534,0,26,541
2012,"Nash County, North Carolina",8,3,554,0,6,197
2012,"New Hanover County, North Carolina",18,0,1337,0,21,1496
2012,"Northampton County, North Carolina",1,0,109,0,0,26
2012,"Onslow County, North Carolina",7,4,490,0,53,663
2012,"Orange County, North Carolina",0,1,288,0,32,232
2012,"Other County, North Carolina",18,0,336,0,16,346
2012,"Pamlico County, North Carolina",0,0,40,0,2,59
2012,"Pasquotank County, North Carolina",0,0,202,0,4,70
2012,"Pender County, North Carolina",2,0,121,0,9,260
2012,"Perquimans County, North Carolina",0,0,61,0,2,32
2012,"Person County, North Carolina",10,0,355,0,4,244
2012,"Pitt County, North Carolina",2,0,1157,0,25,425
2012,"Polk County, North Carolina",0,0,10,0,5,75
2012,"Randolph County, North Carolina",12,4,320,0,70,921
2012,"Richmond County, North Carolina",9,0,222,0,5,202
2012,"Robeson County, North Carolina",595,1,360,0,22,151
2012,"Rockingham County, North Carolina",1,0,384,0,23,628
2012,"Rowan County, North Carolina",12,2,939,0,57,1432
2012,"Rutherford County, North Carolina",2,0,234,0,11,734
2012,"Sampson County, North Carolina",6,0,324,0,61,223
2012,"Scotland County, North Carolina",101,0,313,0,2,153
2012,"Stanly County, North Carolina",2,0,123,0,2,249
2012,"Stokes County, North Carolina",4,0,41,0,6,351
2012,"Surry County, North Carolina",8,0,84,0,14,566
2012,"Swain County, North Carolina",44,0,6,0,1,49
2012,"Transylvania County, North Carolina",0,0,51,0,0,186
2012,"Tyrrell County, North Carolina",0,0,22,0,1,10
2012,"Union County, North Carolina",7,0,481,0,25,458
2012,"Vance County, North Carolina",0,0,210,0,6,112
2012,"Wake County, North Carolina",25,26,2927,0,231,1181
2012,"Warren County, North Carolina",6,0,57,0,0,38
2012,"Washington County, North Carolina",0,0,102,0,1,38
2012,"Watauga County, North Carolina",0,0,22,0,8,316
2012,"Wayne County, North Carolina",5,0,918,0,42,413
2012,"Wilkes County, North Carolina",4,0,152,0,23,993
2012,"Wilson County, North Carolina",5,2,506,0,38,183
2012,"Yadkin County, North Carolina",0,0,52,0,12,337
2012,"Yancey County, North Carolina",0,0,3,0,4,131
2013,"Alamance County, North Carolina",17,3,900,0,71,845
2013,"Alexander County, North Carolina",1,3,47,0,3,287
2013,"Alleghany County, North Carolina",1,0,5,0,3,118
2013,"Anson County, North Carolina",5,0,198,0,1,89
2013,"Ashe County, North Carolina",0,0,12,0,8,200
2013,"Avery County, North Carolina",3,0,4,0,2,140
2013,"Beaufort County, North Carolina",3,0,428,0,19,301
2013,"Bertie County, North Carolina",0,0,94,0,0,34
2013,"Bladen County, North Carolina",21,0,152,0,4,113
2013,"Brunswick County, North Carolina",4,1,211,0,31,610
2013,"Buncombe County, North Carolina",19,8,487,0,58,1195
2013,"Burke County, North Carolina",2,5,115,0,18,587
2013,"Cabarrus County, North Carolina",15,2,646,0,52,946
2013,"Caldwell County, North Carolina",3,0,80,0,5,420
2013,"Camden County, North Carolina",0,0,10,0,0,14
2013,"Carteret County, North Carolina",11,2,83,0,18,431
2013,"Caswell County, North Carolina",0,0,75,0,1,57
2013,"Catawba County, North Carolina",3,2,318,0,16,714
2013,"Chatham County, North Carolina",6,0,117,0,20,122
2013,"Cherokee County, North Carolina",6,0,3,0,1,189
2013,"Chowan County, North Carolina",0,0,75,0,1,37
2013,"Clay County, North Carolina",1,0,0,0,0,48
2013,"Cleveland County, North Carolina",7,0,571,0,21,824
2013,"Columbus County, North Carolina",41,0,247,0,5,252
2013,"Craven County, North Carolina",4,3,483,0,21,553
2013,"Cumberland County, North Carolina",109,10,1477,0,97,669
2013,"Currituck County, North Carolina",1,0,34,0,0,79
2013,"Dare County, North Carolina",0,0,57,0,4,271
2013,"Davidson County, North Carolina",16,12,366,0,43,896
