Year of Sentence,County,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN/ASIAN AMERICAN,BLACK/AFRICAN AMERICAN,HAWAIIAN/PACIFIC ISLANDER,OTHER,WHITE
2013,"Davie County, North Carolina",6,0,53,0,10,213
2013,"Duplin County, North Carolina",5,0,316,0,36,189
2013,"Durham County, North Carolina",7,1,1342,0,66,276
2013,"Edgecombe County, North Carolina",1,1,502,0,4,163
2013,"Forsyth County, North Carolina",10,0,1196,0,79,647
2013,"Franklin County, North Carolina",0,0,157,0,6,107
2013,"Gaston County, North Carolina",10,4,575,0,23,1135
2013,"Gates County, North Carolina",0,0,26,0,0,15
2013,"Graham County, North Carolina",10,0,0,0,1,56
2013,"Granville County, North Carolina",2,0,184,0,10,108
2013,"Greene County, North Carolina",1,0,206,0,10,86
2013,"Guilford County, North Carolina",41,32,2836,0,100,1227
2013,"Halifax County, North Carolina",9,0,328,0,1,144
2013,"Harnett County, North Carolina",26,0,308,0,23,293
2013,"Haywood County, North Carolina",14,0,26,0,7,416
2013,"Henderson County, North Carolina",4,1,94,0,29,616
2013,"Hertford County, North Carolina",0,0,144,0,1,35
2013,"Hoke County, North Carolina",94,0,275,0,16,89
2013,"Hyde County, North Carolina",0,0,47,0,0,28
2013,"Iredell County, North Carolina",7,6,666,0,44,844
2013,"Jackson County, North Carolina",40,0,7,0,6,148
2013,"Johnston County, North Carolina",5,3,505,0,50,568
2013,"Jones County, North Carolina",0,0,73,0,4,57
2013,"Lee County, North Carolina",6,0,292,0,23,256
2013,"Lenoir County, North Carolina",4,1,729,0,18,302
2013,"Lincoln County, North Carolina",9,0,171,0,31,787
2013,"Macon County, North Carolina",8,0,7,0,2,197
2013,"Madison County, North Carolina",3,0,2,0,0,178
2013,"Martin County, North Carolina",0,0,185,0,6,84
2013,"Mcdowell County, North Carolina",3,0,55,0,6,658
2013,"Mecklenburg County, North Carolina",13,16,2219,0,155,563
2013,"Mitchell County, North Carolina",0,0,0,0,2,165
2013,"Montgomery County, North Carolina",11,0,154,0,10,150
2013,"Moore County, North Carolina",38,0,459,0,46,559
2013,"Nash County, North Carolina",3,3,491,0,7,225
2013,"New Hanover County, North Carolina",26,0,1215,0,24,1619
2013,"Northampton County, North Carolina",0,0,90,0,0,17
2013,"Onslow County, North Carolina",7,8,447,0,39,625
2013,"Orange County, North Carolina",2,1,238,0,10,233
2013,"Other County, North Carolina",9,0,298,0,13,337
2013,"Pamlico County, North Carolina",0,0,30,0,0,54
2013,"Pasquotank County, North Carolina",1,0,251,0,2,88
2013,"Pender County, North Carolina",7,0,159,0,11,278
2013,"Perquimans County, North Carolina",0,0,47,0,1,33
2013,"Person County, North Carolina",0,0,286,0,0,204
2013,"Pitt County, North Carolina",2,2,1378,0,24,467
2013,"Polk County, North Carolina",0,0,31,0,2,85
2013,"Randolph County, North Carolina",12,3,334,0,60,891
2013,"Richmond County, North Carolina",8,1,224,0,7,156
2013,"Robeson County, North Carolina",553,2,357,0,17,151
2013,"Rockingham County, North Carolina",2,3,308,0,18,543
2013,"Rowan County, North Carolina",10,4,832,0,34,1395
2013,"Rutherford County, North Carolina",4,0,231,0,8,689
2013,"Sampson County, North Carolina",10,0,243,0,45,257
2013,"Scotland County, North Carolina",102,0,285,0,2,125
2013,"Stanly County, North Carolina",2,0,154,0,10,197
2013,"Stokes County, North Carolina",1,0,42,0,5,328
2013,"Surry County, North Carolina",2,1,82,0,15,575
2013,"Swain County, North Carolina",36,0,2,0,3,84
2013,"Transylvania County, North Carolina",0,0,40,0,3,163
2013,"Tyrrell County, North Carolina",0,1,18,0,1,22
2013,"Union County, North Carolina",12,3,443,0,56,446
2013,"Vance County, North Carolina",0,0,212,0,4,103
2013,"Wake County, North Carolina",29,12,2957,0,269,1296
2013,"Warren County, North Carolina",4,0,40,0,0,13
2013,"Washington County, North Carolina",0,0,108,0,2,19
2013,"Watauga County, North Carolina",1,2,33,0,3,330
2013,"Wayne County, North Carolina",6,0,755,0,27,455
2013,"Wilkes County, North Carolina",4,0,99,0,20,902
2013,"Wilson County, North Carolina",4,0,555,0,24,204
2013,"Yadkin County, North Carolina",2,0,48,0,10,360
2013,"Yancey County, North Carolina",2,0,4,0,3,174
2014,"Alamance County, North Carolina",15,1,864,0,80,775
2014,"Alexander County, North Carolina",1,4,55,0,6,294
2014,"Alleghany County, North Carolina",0,0,2,0,1,110
2014,"Anson County, North Carolina",5,0,154,0,4,54
2014,"Ashe County, North Carolina",0,0,4,0,14,186
2014,"Avery County, North Carolina",3,0,15,0,5,144
2014,"Beaufort County, North Carolina",3,1,431,0,28,320
2014,"Bertie County, North Carolina",0,0,72,0,1,14
2014,"Bladen County, North Carolina",16,0,180,0,2,125
2014,"Brunswick County, North Carolina",18,1,192,0,18,497
2014,"Buncombe County, North Carolina",19,3,374,0,43,1143
2014,"Burke County, North Carolina",2,2,116,0,8,545
2014,"Cabarrus County, North Carolina",14,7,581,0,40,975
2014,"Caldwell County, North Carolina",4,1,116,0,3,507
2014,"Camden County, North Carolina",0,0,13,0,0,22
2014,"Carteret County, North Carolina",10,1,117,0,11,524
2014,"Caswell County, North Carolina",0,0,58,0,2,97
2014,"Catawba County, North Carolina",0,15,271,0,32,701
2014,"Chatham County, North Carolina",1,1,95,0,11,168
2014,"Cherokee County, North Carolina",6,0,6,0,2,131
2014,"Chowan County, North Carolina",0,0,81,0,0,33
2014,"Clay County, North Carolina",2,0,1,0,2,29
2014,"Cleveland County, North Carolina",7,2,542,0,16,831
2014,"Columbus County, North Carolina",24,2,221,0,9,203
2014,"Craven County, North Carolina",5,6,446,0,32,546
2014,"Cumberland County, North Carolina",118,16,1430,0,52,666
2014,"Currituck County, North Carolina",2,0,32,0,0,79
2014,"Dare County, North Carolina",0,0,57,0,3,168
2014,"Davidson County, North Carolina",8,7,316,0,30,843
2014,"Davie County, North Carolina",4,0,47,0,6,158
2014,"Duplin County, North Carolina",13,0,289,0,29,239
2014,"Durham County, North Carolina",11,4,1243,0,76,226
2014,"Edgecombe County, North Carolina",0,0,500,0,10,168
2014,"Forsyth County, North Carolina",13,0,1250,0,83,743
2014,"Franklin County, North Carolina",0,0,153,0,4,91
2014,"Gaston County, North Carolina",10,4,585,0,34,1131
2014,"Gates County, North Carolina",0,0,23,0,0,16
2014,"Graham County, North Carolina",4,0,0,0,0,44
2014,"Granville County, North Carolina",3,0,176,0,2,80
2014,"Greene County, North Carolina",2,0,133,0,8,68
2014,"Guilford County, North Carolina",52,31,2477,0,67,1182
2014,"Halifax County, North Carolina",16,0,309,0,6,95
2014,"Harnett County, North Carolina",9,0,301,0,23,283
2014,"Haywood County, North Carolina",16,0,23,0,5,445
2014,"Henderson County, North Carolina",4,0,88,0,29,545
2014,"Hertford County, North Carolina",0,0,116,0,0,41
2014,"Hoke County, North Carolina",53,1,271,0,12,74
2014,"Hyde County, North Carolina",0,0,26,0,1,14
2014,"Iredell County, North Carolina",10,3,601,0,29,987
2014,"Jackson County, North Carolina",30,1,12,0,7,128
2014,"Johnston County, North Carolina",10,3,553,0,61,587
2014,"Jones County, North Carolina",0,0,43,0,0,69
2014,"Lee County, North Carolina",4,1,243,0,26,186
2014,"Lenoir County, North Carolina",2,0,688,0,14,258
2014,"Lincoln County, North Carolina",8,2,138,0,27,681
2014,"Macon County, North Carolina",6,0,6,0,2,181
2014,"Madison County, North Carolina",3,0,1,0,1,147
2014,"Martin County, North Carolina",0,0,250,0,3,97
2014,"Mcdowell County, North Carolina",2,0,29,0,15,644
2014,"Mecklenburg County, North Carolina",14,16,2147,0,146,470
2014,"Mitchell County, North Carolina",0,0,4,0,3,172
2014,"Montgomery County, North Carolina",6,2,197,0,16,154
2014,"Moore County, North Carolina",31,5,431,0,42,542
2014,"Nash County, North Carolina",10,0,624,0,15,319
2014,"New Hanover County, North Carolina",20,2,1140,0,44,1503
2014,"Northampton County, North Carolina",0,0,70,0,0,8
2014,"Onslow County, North Carolina",3,11,455,0,66,659
2014,"Orange County, North Carolina",3,0,253,0,32,184
2014,"Other County, North Carolina",15,0,308,0,9,352
2014,"Pamlico County, North Carolina",0,0,39,0,0,62
2014,"Pasquotank County, North Carolina",0,0,201,0,1,94
2014,"Pender County, North Carolina",8,1,142,0,10,276
2014,"Perquimans County, North Carolina",0,0,35,0,4,48
2014,"Person County, North Carolina",10,0,367,0,2,243
2014,"Pitt County, North Carolina",7,1,1505,0,68,475
2014,"Polk County, North Carolina",0,0,11,0,1,76
2014,"Randolph County, North Carolina",9,0,271,0,63,876
2014,"Richmond County, North Carolina",14,1,267,0,8,194
2014,"Robeson County, North Carolina",561,0,295,0,19,124
2014,"Rockingham County, North Carolina",0,0,312,0,19,491
2014,"Rowan County, North Carolina",9,0,682,0,43,1386
2014,"Rutherford County, North Carolina",0,0,175,0,7,612
2014,"Sampson County, North Carolina",15,0,297,0,41,301
2014,"Scotland County, North Carolina",90,0,157,0,5,97
2014,"Stanly County, North Carolina",4,1,109,0,3,219
2014,"Stokes County, North Carolina",1,0,45,0,13,288
2014,"Surry County, North Carolina",4,0,82,0,19,542
2014,"Swain County, North Carolina",31,0,1,0,5,63
2014,"Transylvania County, North Carolina",0,0,26,0,1,121
2014,"Tyrrell County, North Carolina",0,2,16,0,0,18
2014,"Union County, North Carolina",10,1,390,0,39,481
2014,"Vance County, North Carolina",0,0,198,0,8,90
2014,"Wake County, North Carolina",39,20,2939,0,282,1274
2014,"Warren County, North Carolina",5,0,74,0,0,32
2014,"Washington County, North Carolina",0,0,91,0,0,17
2014,"Watauga County, North Carolina",1,2,27,0,4,298
2014,"Wayne County, North Carolina",6,0,671,0,24,340
2014,"Wilkes County, North Carolina",8,0,129,0,22,1174
2014,"Wilson County, North Carolina",8,0,569,0,15,156
2014,"Yadkin County, North Carolina",0,0,62,0,23,345
2014,"Yancey County, North Carolina",5,0,3,0,4,178
2015,"Alamance County, North Carolina",14,3,742,0,46,644
2015,"Alexander County, North Carolina",1,1,48,0,7,262
2015,"Alleghany County, North Carolina",2,0,6,0,4,86
2015,"Anson County, North Carolina",4,0,140,0,6,71
2015,"Ashe County, North Carolina",0,0,2,0,2,181
2015,"Avery County, North Carolina",0,0,7,0,2,133
2015,"Beaufort County, North Carolina",7,0,384,0,15,250
2015,"Bertie County, North Carolina",2,0,64,0,0,33
2015,"Bladen County, North Carolina",14,0,133,0,4,105
2015,"Brunswick County, North Carolina",24,0,219,0,20,508
2015,"Buncombe County, North Carolina",20,0,357,0,27,943
2015,"Burke County, North Carolina",2,6,100,0,4,620
2015,"Cabarrus County, North Carolina",9,2,727,0,52,997
2015,"Caldwell County, North Carolina",4,4,81,0,2,442
2015,"Camden County, North Carolina",0,1,16,0,2,13
2015,"Carteret County, North Carolina",13,0,93,0,7,554
2015,"Caswell County, North Carolina",0,0,70,0,3,53
2015,"Catawba County, North Carolina",7,16,246,0,16,659
2015,"Chatham County, North Carolina",5,1,81,0,24,148
2015,"Cherokee County, North Carolina",4,0,3,0,3,106
2015,"Chowan County, North Carolina",0,0,81,0,0,36
2015,"Clay County, North Carolina",0,0,0,0,4,40
2015,"Cleveland County, North Carolina",3,0,439,0,12,867
2015,"Columbus County, North Carolina",19,0,238,0,1,221
2015,"Craven County, North Carolina",5,3,382,0,13,552
2015,"Cumberland County, North Carolina",106,6,1408,0,72,686
2015,"Currituck County, North Carolina",2,0,35,0,1,111
2015,"Dare County, North Carolina",1,0,94,0,9,211
2015,"Davidson County, North Carolina",4,7,280,0,18,757
2015,"Davie County, North Carolina",0,0,48,0,2,140
2015,"Duplin County, North Carolina",7,0,237,0,26,150
2015,"Durham County, North Carolina",17,9,1119,0,73,265
2015,"Edgecombe County, North Carolina",3,0,369,0,6,164
2015,"Forsyth County, North Carolina",17,1,1172,0,95,730
2015,"Franklin County, North Carolina",0,1,138,0,9,138
2015,"Gaston County, North Carolina",7,2,486,0,30,1094
2015,"Gates County, North Carolina",1,0,12,0,1,28
2015,"Graham County, North Carolina",12,0,0,0,1,53
2015,"Granville County, North Carolina",1,0,176,0,4,95
2015,"Greene County, North Carolina",2,0,120,0,6,47
2015,"Guilford County, North Carolina",38,10,2250,0,107,1086
2015,"Halifax County, North Carolina",4,0,270,0,0,110
2015,"Harnett County, North Carolina",15,0,330,0,24,336
2015,"Haywood County, North Carolina",28,3,14,0,13,370
2015,"Henderson County, North Carolina",5,1,85,0,30,459
2015,"Hertford County, North Carolina",0,0,126,0,0,38
2015,"Hoke County, North Carolina",95,0,233,0,20,68
2015,"Hyde County, North Carolina",1,0,23,0,1,20
2015,"Iredell County, North Carolina",13,1,494,0,27,880
2015,"Jackson County, North Carolina",59,0,13,0,8,141
2015,"Johnston County, North Carolina",14,7,568,0,49,654
2015,"Jones County, North Carolina",0,0,57,0,0,67
2015,"Lee County, North Carolina",10,0,253,0,28,219
2015,"Lenoir County, North Carolina",6,0,668,0,14,223
2015,"Lincoln County, North Carolina",9,0,151,0,10,615
2015,"Macon County, North Carolina",2,1,3,0,5,181
2015,"Madison County, North Carolina",1,0,5,0,1,178
2015,"Martin County, North Carolina",2,0,229,0,3,94
2015,"Mcdowell County, North Carolina",3,0,43,0,23,680
2015,"Mecklenburg County, North Carolina",11,10,1862,0,146,417
2015,"Mitchell County, North Carolina",0,0,4,0,4,166
2015,"Montgomery County, North Carolina",6,0,128,0,11,148
2015,"Moore County, North Carolina",29,1,355,0,22,503
2015,"Nash County, North Carolina",5,2,557,0,15,295
2015,"New Hanover County, North Carolina",18,4,1089,0,50,1470
2015,"Northampton County, North Carolina",0,0,55,0,0,18
2015,"Onslow County, North Carolina",3,10,454,0,35,538
2015,"Orange County, North Carolina",1,1,235,0,13,142
2015,"Other County, North Carolina",16,3,302,0,10,358
2015,"Pamlico County, North Carolina",0,0,34,0,1,57
2015,"Pasquotank County, North Carolina",0,0,185,0,2,115
2015,"Pender County, North Carolina",3,0,98,0,9,224
2015,"Perquimans County, North Carolina",0,0,39,0,0,50
2015,"Person County, North Carolina",6,0,420,0,0,250
2015,"Pitt County, North Carolina",8,2,1506,0,40,578
2015,"Polk County, North Carolina",0,0,16,0,2,59
2015,"Randolph County, North Carolina",9,1,221,0,49,772
2015,"Richmond County, North Carolina",13,2,203,0,5,169
2015,"Robeson County, North Carolina",463,0,251,0,17,110
2015,"Rockingham County, North Carolina",5,0,285,0,21,506
2015,"Rowan County, North Carolina",16,2,606,0,54,1089
2015,"Rutherford County, North Carolina",5,0,170,0,6,743
2015,"Sampson County, North Carolina",20,0,246,0,39,254
2015,"Scotland County, North Carolina",88,0,188,0,7,90
2015,"Stanly County, North Carolina",4,0,136,0,7,217
2015,"Stokes County, North Carolina",2,0,50,0,9,235
2015,"Surry County, North Carolina",4,0,69,0,19,487
2015,"Swain County, North Carolina",24,0,0,0,5,105
2015,"Transylvania County, North Carolina",0,0,22,0,1,105
2015,"Tyrrell County, North Carolina",0,0,23,0,1,17
2015,"Union County, North Carolina",14,4,415,0,23,440
2015,"Vance County, North Carolina",3,0,187,0,4,118
2015,"Wake County, North Carolina",25,23,2696,0,179,1164
2015,"Warren County, North Carolina",3,0,64,0,0,26
2015,"Washington County, North Carolina",0,0,62,0,0,30
2015,"Watauga County, North Carolina",0,0,30,0,3,301
2015,"Wayne County, North Carolina",12,0,681,0,27,322
2015,"Wilkes County, North Carolina",2,0,132,0,19,1034
2015,"Wilson County, North Carolina",7,0,478,0,11,159
2015,"Yadkin County, North Carolina",1,0,41,0,11,311
2015,"Yancey County, North Carolina",3,0,4,0,3,172
2016,"Alamance County, North Carolina",13,1,686,0,44,608
2016,"Alexander County, North Carolina",1,2,32,0,1,212
2016,"Alleghany County, North Carolina",2,0,4,0,2,96
2016,"Anson County, North Carolina",4,0,188,0,8,91
2016,"Ashe County, North Carolina",0,0,6,0,5,172
2016,"Avery County, North Carolina",0,0,11,0,4,122
2016,"Beaufort County, North Carolina",6,0,334,0,7,243
2016,"Bertie County, North Carolina",0,0,83,0,2,21
2016,"Bladen County, North Carolina",11,0,189,0,3,115
2016,"Brunswick County, North Carolina",14,0,219,0,14,542
2016,"Buncombe County, North Carolina",10,1,389,0,23,1032
2016,"Burke County, North Carolina",2,10,126,0,13,600
2016,"Cabarrus County, North Carolina",13,3,629,0,67,888
2016,"Caldwell County, North Carolina",4,2,85,0,7,468
2016,"Camden County, North Carolina",0,0,14,0,1,15
2016,"Carteret County, North Carolina",4,0,117,0,9,486
2016,"Caswell County, North Carolina",0,0,75,0,2,70
2016,"Catawba County, North Carolina",5,13,250,0,27,639
2016,"Chatham County, North Carolina",6,0,108,0,19,173
2016,"Cherokee County, North Carolina",2,0,3,0,3,95
2016,"Chowan County, North Carolina",0,0,66,0,3,26
2016,"Clay County, North Carolina",0,0,0,0,5,31
2016,"Cleveland County, North Carolina",6,4,496,0,12,817
2016,"Columbus County, North Carolina",20,1,272,0,6,239
2016,"Craven County, North Carolina",3,6,512,0,18,544
2016,"Cumberland County, North Carolina",127,3,1320,0,46,676
2016,"Currituck County, North Carolina",2,0,27,0,2,89
2016,"Dare County, North Carolina",5,0,71,0,7,234
2016,"Davidson County, North Carolina",8,6,298,0,37,743
2016,"Davie County, North Carolina",0,0,61,0,3,152
2016,"Duplin County, North Carolina",10,0,241,0,20,228
2016,"Durham County, North Carolina",7,1,1097,0,76,243
2016,"Edgecombe County, North Carolina",3,0,447,0,5,132
2016,"Forsyth County, North Carolina",10,3,1107,0,107,690
2016,"Franklin County, North Carolina",1,0,116,0,19,142
2016,"Gaston County, North Carolina",9,2,518,0,34,1048
2016,"Gates County, North Carolina",0,0,14,0,0,29
2016,"Graham County, North Carolina",6,0,0,0,0,48
2016,"Granville County, North Carolina",1,0,177,0,9,101
2016,"Greene County, North Carolina",2,0,121,0,7,47
2016,"Guilford County, North Carolina",39,18,2043,0,67,1220
2016,"Halifax County, North Carolina",12,0,289,0,2,178
2016,"Harnett County, North Carolina",15,0,324,0,22,387
2016,"Haywood County, North Carolina",17,0,20,0,2,423
2016,"Henderson County, North Carolina",6,0,65,0,43,442
2016,"Hertford County, North Carolina",0,0,137,0,2,35
2016,"Hoke County, North Carolina",78,0,229,0,16,92
2016,"Hyde County, North Carolina",1,1,25,0,3,16
2016,"Iredell County, North Carolina",5,0,481,0,39,811
2016,"Jackson County, North Carolina",48,0,4,0,3,123
2016,"Johnston County, North Carolina",13,3,524,0,44,712
2016,"Jones County, North Carolina",0,0,46,0,0,40
2016,"Lee County, North Carolina",6,1,247,0,21,176
2016,"Lenoir County, North Carolina",3,0,582,0,16,229
2016,"Lincoln County, North Carolina",16,0,110,0,13,674
2016,"Macon County, North Carolina",1,0,1,0,8,180
2016,"Madison County, North Carolina",3,2,1,0,0,189
2016,"Martin County, North Carolina",2,0,211,0,2,68
2016,"Mcdowell County, North Carolina",4,0,29,0,25,644
2016,"Mecklenburg County, North Carolina",10,8,1693,0,113,364
2016,"Mitchell County, North Carolina",1,0,2,0,1,204
2016,"Montgomery County, North Carolina",4,0,130,0,6,132
2016,"Moore County, North Carolina",33,4,294,0,26,479
2016,"Nash County, North Carolina",5,1,619,0,20,304
2016,"New Hanover County, North Carolina",36,1,962,0,26,1371
2016,"Northampton County, North Carolina",0,0,53,0,0,19
2016,"Onslow County, North Carolina",4,5,358,0,51,556
2016,"Orange County, North Carolina",1,3,270,0,17,126
2016,"Other County, North Carolina",8,1,305,0,6,372
2016,"Pamlico County, North Carolina",0,0,37,0,0,105
2016,"Pasquotank County, North Carolina",0,0,207,0,4,115
2016,"Pender County, North Carolina",1,0,127,0,8,188
2016,"Perquimans County, North Carolina",0,0,47,0,1,27
2016,"Person County, North Carolina",0,0,265,0,3,178
2016,"Pitt County, North Carolina",9,3,1234,0,45,461
2016,"Polk County, North Carolina",0,0,11,0,1,58
2016,"Randolph County, North Carolina",15,3,272,0,44,765
2016,"Richmond County, North Carolina",17,0,158,0,2,157
2016,"Robeson County, North Carolina",463,0,208,0,9,130
2016,"Rockingham County, North Carolina",6,1,328,0,11,643
2016,"Rowan County, North Carolina",15,3,539,0,44,1157
2016,"Rutherford County, North Carolina",7,2,173,1,3,723
2016,"Sampson County, North Carolina",12,0,232,0,25,263
2016,"Scotland County, North Carolina",84,0,203,0,4,104
2016,"Stanly County, North Carolina",2,2,138,0,6,228
2016,"Stokes County, North Carolina",1,0,49,0,4,247
2016,"Surry County, North Carolina",1,0,74,0,23,488
2016,"Swain County, North Carolina",19,0,3,0,2,63
2016,"Transylvania County, North Carolina",0,0,17,0,4,128
2016,"Tyrrell County, North Carolina",0,1,26,0,0,8
2016,"Union County, North Carolina",11,0,386,0,21,520
2016,"Vance County, North Carolina",6,0,197,0,12,106
2016,"Wake County, North Carolina",13,8,2574,0,196,1079
2016,"Warren County, North Carolina",4,0,44,0,0,34
2016,"Washington County, North Carolina",1,0,63,0,2,22
2016,"Watauga County, North Carolina",4,0,14,0,1,286
2016,"Wayne County, North Carolina",7,0,611,0,25,351
2016,"Wilkes County, North Carolina",5,0,147,0,13,744
2016,"Wilson County, North Carolina",6,0,396,0,9,180
2016,"Yadkin County, North Carolina",5,0,64,0,13,274
2016,"Yancey County, North Carolina",4,0,9,0,5,235
2017,"Alamance County, North Carolina",9,2,650,0,43,595
2017,"Alexander County, North Carolina",2,1,41,0,6,197
2017,"Alleghany County, North Carolina",1,0,7,0,3,107
2017,"Anson County, North Carolina",7,0,165,0,3,93
2017,"Ashe County, North Carolina",0,0,8,0,5,178
2017,"Avery County, North Carolina",0,0,4,0,2,101
2017,"Beaufort County, North Carolina",3,0,440,0,12,261
2017,"Bertie County, North Carolina",2,0,144,0,3,28
2017,"Bladen County, North Carolina",13,0,155,0,2,125
2017,"Brunswick County, North Carolina",19,0,218,0,13,519
2017,"Buncombe County, North Carolina",18,0,340,0,30,1048
2017,"Burke County, North Carolina",1,7,90,0,10,706
2017,"Cabarrus County, North Carolina",9,3,610,0,54,822
2017,"Caldwell County, North Carolina",1,1,54,0,4,476
2017,"Camden County, North Carolina",0,0,11,0,1,18
2017,"Carteret County, North Carolina",9,0,143,0,20,531
2017,"Caswell County, North Carolina",0,0,109,0,4,58
2017,"Catawba County, North Carolina",5,11,290,0,28,699
2017,"Chatham County, North Carolina",3,2,77,0,14,156
2017,"Cherokee County, North Carolina",9,2,5,0,1,173
2017,"Chowan County, North Carolina",0,0,93,0,7,49
2017,"Clay County, North Carolina",0,0,0,0,1,44
2017,"Cleveland County, North Carolina",5,3,528,0,11,960
2017,"Columbus County, North Carolina",19,0,234,0,3,197
2017,"Craven County, North Carolina",13,4,511,0,43,584
2017,"Cumberland County, North Carolina",109,3,1179,0,75,597
2017,"Currituck County, North Carolina",1,0,32,0,2,103
2017,"Dare County, North Carolina",3,0,68,0,6,281
2017,"Davidson County, North Carolina",5,16,280,0,23,873
2017,"Davie County, North Carolina",3,0,40,0,2,194
2017,"Duplin County, North Carolina",8,0,281,0,45,226
2017,"Durham County, North Carolina",8,2,905,0,53,242
2017,"Edgecombe County, North Carolina",3,0,441,0,2,145
2017,"Forsyth County, North Carolina",18,5,1159,0,124,735
2017,"Franklin County, North Carolina",0,0,169,0,5,121
2017,"Gaston County, North Carolina",9,9,553,0,25,1341
2017,"Gates County, North Carolina",0,0,15,0,4,17
2017,"Graham County, North Carolina",3,0,0,0,1,34
2017,"Granville County, North Carolina",1,0,154,0,7,88
2017,"Greene County, North Carolina",3,0,125,0,6,52
2017,"Guilford County, North Carolina",46,15,2144,0,93,1276
2017,"Halifax County, North Carolina",6,0,303,0,3,141
2017,"Harnett County, North Carolina",15,0,316,0,18,407
2017,"Haywood County, North Carolina",31,1,23,0,11,514
2017,"Henderson County, North Carolina",9,0,93,0,29,493
2017,"Hertford County, North Carolina",1,0,149,0,1,38
2017,"Hoke County, North Carolina",86,0,200,0,18,82
2017,"Hyde County, North Carolina",1,0,26,0,0,25
2017,"Iredell County, North Carolina",11,9,488,0,32,929
2017,"Jackson County, North Carolina",57,1,6,0,8,161
2017,"Johnston County, North Carolina",22,2,548,0,54,662
2017,"Jones County, North Carolina",0,0,50,0,0,44
2017,"Lee County, North Carolina",7,0,246,0,26,198
2017,"Lenoir County, North Carolina",2,3,526,0,21,211
2017,"Lincoln County, North Carolina",9,0,125,0,13,683
2017,"Macon County, North Carolina",2,1,14,0,4,301
2017,"Madison County, North Carolina",0,0,3,0,2,169
2017,"Martin County, North Carolina",0,0,166,0,4,51
2017,"Mcdowell County, North Carolina",3,0,61,0,21,695
2017,"Mecklenburg County, North Carolina",11,6,1683,0,127,399
2017,"Mitchell County, North Carolina",0,0,1,0,0,154
2017,"Montgomery County, North Carolina",4,7,119,0,32,129
2017,"Moore County, North Carolina",27,0,322,0,40,485
