COUNTY OF CONVICTION,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN/ASIAN AMERICAN,BLACK/AFRICAN AMERICAN,HAWAIIAN/PACIFIC ISLANDER,OTHER,UNKNOWN,WHITE
ALAMANCE,506.0,87.0,45300.0,,2198.0,97.0,40089.0
ALEXANDER,31.0,46.0,2568.0,,215.0,6.0,11185.0
ALLEGHANY,31.0,,186.0,,181.0,9.0,3656.0
ANSON,121.0,10.0,10517.0,,74.0,5.0,3064.0
ASHE,12.0,,294.0,,180.0,5.0,8290.0
AVERY,27.0,2.0,212.0,,45.0,3.0,4530.0
BEAUFORT,92.0,5.0,18184.0,,297.0,40.0,11772.0
BERTIE,31.0,,8045.0,,32.0,,1732.0
BLADEN,663.0,1.0,9207.0,,148.0,12.0,5737.0
BRUNSWICK,583.0,8.0,8485.0,,516.0,42.0,20375.0
BUNCOMBE,707.0,54.0,25904.0,,1308.0,76.0,56217.0
BURKE,95.0,243.0,6264.0,,573.0,20.0,26098.0
CABARRUS,337.0,75.0,27885.0,,1354.0,60.0,36544.0
CALDWELL,82.0,69.0,5742.0,,219.0,16.0,23486.0
CAMDEN,4.0,2.0,715.0,,14.0,,812.0
CARTERET,316.0,23.0,6037.0,1.0,413.0,21.0,18145.0
CASWELL,33.0,2.0,5105.0,,88.0,1.0,2914.0
CATAWBA,109.0,321.0,16848.0,2.0,753.0,30.0,32394.0
CHATHAM,134.0,19.0,6402.0,,596.0,13.0,5849.0
CHEROKEE,188.0,9.0,355.0,,48.0,1.0,5963.0
CHOWAN,5.0,,5093.0,,49.0,,1853.0
CLAY,9.0,1.0,37.0,,15.0,5.0,1393.0
CLEVELAND,165.0,42.0,20230.0,,290.0,34.0,23899.0
COLUMBUS,983.0,6.0,14797.0,,193.0,15.0,11091.0
CRAVEN,204.0,111.0,22448.0,,559.0,29.0,19202.0
CUMBERLAND,4647.0,219.0,61584.0,1.0,1832.0,136.0,29455.0
CURRITUCK,38.0,,1273.0,,36.0,6.0,3488.0
DARE,49.0,3.0,2357.0,,240.0,12.0,8857.0
DAVIDSON,496.0,259.0,20800.0,,979.0,34.0,42328.0
DAVIE,97.0,3.0,3460.0,,269.0,17.0,8325.0
DUPLIN,165.0,3.0,13631.0,,986.0,60.0,8545.0
DURHAM,271.0,50.0,58879.0,,1524.0,65.0,14092.0
EDGECOMBE,43.0,4.0,23006.0,,211.0,5.0,6019.0
FORSYTH,564.0,92.0,69097.0,,3367.0,183.0,36556.0
FRANKLIN,73.0,3.0,10029.0,,223.0,13.0,5602.0
GASTON,319.0,157.0,21234.0,,639.0,47.0,42063.0
GATES,14.0,,1490.0,,12.0,1.0,978.0
GRAHAM,237.0,3.0,30.0,,12.0,3.0,2117.0
GRANVILLE,62.0,3.0,12155.0,,163.0,13.0,4805.0
GREENE,45.0,2.0,7425.0,,278.0,25.0,2481.0
GUILFORD,2203.0,598.0,95967.0,,2213.0,150.0,52457.0
HALIFAX,879.0,2.0,24249.0,,74.0,6.0,8599.0
HARNETT,669.0,12.0,20297.0,,945.0,36.0,16719.0
HAYWOOD,750.0,11.0,962.0,,208.0,23.0,17253.0
HENDERSON,155.0,18.0,5490.0,,1159.0,40.0,23691.0
HERTFORD,12.0,2.0,11248.0,,57.0,,2230.0
HOKE,4061.0,8.0,11520.0,,396.0,27.0,3957.0
HYDE,11.0,1.0,1454.0,,36.0,1.0,780.0
IREDELL,308.0,83.0,33087.0,,1006.0,49.0,36993.0
JACKSON,1115.0,15.0,473.0,,225.0,16.0,5886.0
JOHNSTON,361.0,25.0,24767.0,,1730.0,88.0,23449.0
JONES,16.0,5.0,2086.0,,26.0,,1374.0
LEE,241.0,9.0,17689.0,,1281.0,36.0,12649.0
LENOIR,131.0,17.0,33068.0,,589.0,28.0,11600.0
LINCOLN,154.0,8.0,5592.0,,341.0,27.0,18603.0
MACON,104.0,17.0,266.0,,126.0,32.0,7272.0
MADISON,62.0,3.0,99.0,,29.0,1.0,4840.0
MARTIN,45.0,12.0,10023.0,,111.0,5.0,3750.0
MCDOWELL,112.0,14.0,2273.0,,354.0,16.0,19443.0
MECKLENBURG,712.0,396.0,98605.0,,2634.0,196.0,31071.0
MITCHELL,24.0,7.0,110.0,,78.0,11.0,5273.0
MONTGOMERY,215.0,50.0,8413.0,,488.0,32.0,6588.0
MOORE,1214.0,33.0,19153.0,,735.0,60.0,17946.0
NASH,267.0,21.0,27977.0,,370.0,53.0,10864.0
NEW HANOVER,1114.0,73.0,61977.0,,1290.0,69.0,62412.0
NORTHAMPTON,25.0,1.0,7299.0,,13.0,2.0,1352.0
ONSLOW,399.0,297.0,21981.0,,1192.0,64.0,23544.0
ORANGE,94.0,58.0,14987.0,,714.0,43.0,8692.0
OTHER,435.0,39.0,9433.0,2.0,231.0,11.0,11885.0
PAMLICO,18.0,2.0,2216.0,,28.0,2.0,2871.0
PASQUOTANK,19.0,5.0,11113.0,,104.0,5.0,4991.0
PENDER,176.0,11.0,6933.0,,314.0,16.0,9108.0
PERQUIMANS,12.0,,2036.0,,25.0,,1453.0
PERSON,98.0,,10927.0,,116.0,6.0,6615.0
PITT,136.0,16.0,53585.0,,877.0,82.0,19691.0
POLK,31.0,,774.0,,91.0,2.0,3295.0
RANDOLPH,437.0,68.0,12590.0,,1419.0,81.0,33022.0
RICHMOND,933.0,18.0,13616.0,,234.0,7.0,11982.0
ROBESON,28471.0,16.0,20266.0,,404.0,40.0,9569.0
ROCKINGHAM,231.0,28.0,19393.0,,699.0,44.0,27323.0
ROWAN,422.0,44.0,33629.0,,1237.0,78.0,45841.0
RUTHERFORD,134.0,4.0,11121.0,13.0,266.0,24.0,25444.0
SAMPSON,744.0,7.0,15521.0,,1146.0,74.0,10270.0
SCOTLAND,4854.0,2.0,14130.0,,103.0,3.0,6727.0
STANLY,119.0,71.0,7279.0,,131.0,14.0,10966.0
STOKES,91.0,16.0,2758.0,,249.0,10.0,14519.0
SURRY,126.0,5.0,5722.0,,853.0,25.0,28430.0
SWAIN,1088.0,3.0,89.0,,89.0,7.0,2959.0
TRANSYLVANIA,36.0,2.0,1459.0,,69.0,14.0,6103.0
TYRRELL,18.0,8.0,1284.0,,59.0,,785.0
UNION,333.0,32.0,18842.0,,857.0,79.0,16159.0
VANCE,61.0,2.0,16598.0,,183.0,24.0,6644.0
WAKE,770.0,374.0,114372.0,,5195.0,444.0,50556.0
WARREN,287.0,,4210.0,,29.0,,1157.0
WASHINGTON,13.0,,4844.0,,66.0,,1454.0
WATAUGA,23.0,18.0,969.0,,145.0,2.0,9772.0
WAYNE,211.0,14.0,37697.0,,1114.0,42.0,19155.0
WILKES,176.0,8.0,6395.0,,612.0,31.0,35856.0
WILSON,135.0,11.0,25339.0,,569.0,35.0,8684.0
YADKIN,70.0,6.0,2376.0,,550.0,34.0,11717.0
YANCEY,76.0,,214.0,,103.0,6.0,4750.0
